decimalLatitude,decimalLongitude,scientificName
37.086593,-2.801024,Erinacea anthyllis Link
37.076537,-3.52948,Rubus ulmifolius Schott
37.076537,-3.52948,Rosa canina L.
37.086593,-2.801024,Verbascum giganteum Willk.
37.086593,-2.801024,Dactylis glomerata subsp. hispanica (Roth) Nyman
37.086593,-2.801024,Arenaria pungens Nuttall
37.086593,-2.801024,Artemisia campestris var. glutinosa (Gay ex Bess.) Y.R.Ling
37.086593,-2.801024,Picnomon acarna (L.) Cass.
37.086593,-2.801024,Festuca indigesta Boiss.
37.074247,-3.529476,Pinus pinaster Bess.
37.074247,-3.529476,Juniperus oxycedrus Hochst.
37.086593,-2.801024,Rosa sicula Tratt.
37.086593,-2.801024,Acinos alpinus subsp. meridionalis (Nyman) P.W.Ball
37.074247,-3.529476,Juniperus phoenicea Pall.
37.074247,-3.529476,Helianthemum hirtum Mill.
37.074247,-3.529476,Sanguisorba minor Scop.
37.074247,-3.529476,Quercus ilex subsp. ballota (Desf.) Bonafé
37.074247,-3.529476,Ononis aragonensis Asso
37.074247,-3.529476,Cistus albidus L.
37.074247,-3.529476,Rhamnus myrtifolia Willk.
37.074247,-3.529476,Lavandula lanata Boiss.
37.074247,-3.529476,Ulex parviflorus Pourr.
37.074247,-3.529476,Teucrium capitatum L.
37.074247,-3.529476,Thymelaea tartonraira All.
37.074247,-3.529476,Corynephorus canescens P.Beauv.
37.074247,-3.529476,Brachypodium retusum P.Beauv.
37.074247,-3.529476,Galium fruticescens Cav.
37.074247,-3.529476,Festuca indigesta Boiss.
37.074247,-3.529476,Koeleria vallesiana Asch. & Graebn.
37.074296,-3.52663,Quercus ilex subsp. ballota (Desf.) Bonafé
37.074296,-3.52663,Cistus albidus L.
37.074296,-3.52663,Pinus halepensis Mill.
37.074296,-3.52663,Cistus clusii Dunal
37.074296,-3.52663,Juniperus sabina L.
37.074296,-3.52663,Ulex parviflorus Pourr.
37.074296,-3.52663,Daphne gnidium L.
37.074296,-3.52663,Fumana ericoides Pau
37.074296,-3.52663,Euphorbia nicaeensis Sebast. & Maur.
37.074296,-3.52663,Ononis aragonensis Asso
37.074296,-3.52663,Lavandula lanata Boiss.
37.074296,-3.52663,Teucrium similatum T.Navarro & J.L.Rosúa
37.074296,-3.52663,Rubia peregrina L.
37.074296,-3.52663,Rhamnus myrtifolia Willk.
37.074296,-3.52663,Thymus mastichina Sibth. & Sm.
37.074296,-3.52663,Brachypodium retusum P.Beauv.
37.074296,-3.52663,Amelanchier ovalis Medik.
37.074296,-3.52663,Prunus ramburii Boiss.
37.074296,-3.52663,Ptilostemon hispanicus (Lam.) Greuter
37.074296,-3.52663,Koeleria vallesiana Asch. & Graebn.
37.067483,-3.532241,Juniperus oxycedrus Hochst.
37.067483,-3.532241,Quercus ilex subsp. ballota (Desf.) Bonafé
37.067483,-3.532241,Cistus clusii Dunal
37.074296,-3.52663,Rubus ulmifolius Schott
37.067483,-3.532241,Pinus pinaster Bess.
37.067483,-3.532241,Echinospartum boissieri (Spach) Rothm.
37.067483,-3.532241,Ulex parviflorus Pourr.
37.067483,-3.532241,Thymelaea tartonraira All.
37.067483,-3.532241,Cistus laurifolius L.
37.067483,-3.532241,Halimium atriplicifolium Spach
37.067483,-3.532241,Rubia peregrina L.
37.067483,-3.532241,Brachypodium retusum P.Beauv.
37.067483,-3.532241,Stipa tenacissima L.
37.067483,-3.532241,Lavandula lanata Boiss.
37.067483,-3.532241,Putoria calabrica (L.f.) DC.
37.067461,-3.535053,Juniperus sabina L.
37.067461,-3.535053,Quercus ilex subsp. ballota (Desf.) Bonafé
37.067461,-3.535053,Cistus albidus L.
37.067461,-3.535053,Pinus pinaster Bess.
37.067461,-3.535053,Juniperus oxycedrus Hochst.
37.067461,-3.535053,Ulex parviflorus Pourr.
37.067461,-3.535053,Hedera helix L.
37.067461,-3.535053,Rhamnus myrtifolia Willk.
37.067461,-3.535053,Cistus laurifolius L.
37.067461,-3.535053,Sanguisorba minor Scop.
37.067461,-3.535053,Lavandula lanata Boiss.
37.067461,-3.535053,Galium fruticescens Cav.
37.067461,-3.535053,Rubia peregrina L.
37.067461,-3.535053,Phlomis crinita Cav.
37.067461,-3.535053,Marrubium supinum Hu. ex C.Pei
37.067461,-3.535053,Brachypodium retusum P.Beauv.
37.067461,-3.535053,Cytisus scoparius subsp. reverchonii (Degen & Hervier) Rivas Goday & Rivas Mart.
37.067461,-3.535053,Festuca elegans Boiss.
37.067461,-3.535053,Prunus dulcis (Mill.) D.A.Webb
37.067461,-3.535053,Corynephorus canescens P.Beauv.
37.06976,-3.535114,Juniperus oxycedrus Hochst.
37.06976,-3.535114,Quercus ilex subsp. ballota (Desf.) Bonafé
37.06976,-3.535114,Cistus albidus L.
37.067461,-3.535053,Amelanchier ovalis Medik.
37.06976,-3.535114,Pinus pinaster Bess.
37.06976,-3.535114,Lavandula lanata Boiss.
37.06976,-3.535114,Thymus mastichina Sibth. & Sm.
37.06976,-3.535114,Rubia peregrina L.
37.06976,-3.535114,Fumana ericoides Pau
